epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,45371.5,0.50079,0.26879,0.0027,0.95583,0.9693,0.97729,0.8336,0.6418,0.26963,0.01471,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,45633.4,0.49854,0.27267,0.00273,0.95304,0.96988,0.97709,0.83352,0.63889,0.27278,0.01458,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,45895.5,0.49742,0.26941,0.0027,0.95496,0.96866,0.97703,0.8331,0.6384,0.27177,0.01454,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,46157.2,0.49445,0.26741,0.00269,0.95378,0.97084,0.97723,0.83361,0.63591,0.26848,0.01439,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,46419.1,0.49452,0.26727,0.00266,0.95496,0.96929,0.97747,0.83449,0.63299,0.26631,0.01431,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,46681.1,0.49469,0.26498,0.00268,0.95656,0.96999,0.97735,0.83442,0.63296,0.26488,0.01424,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,46941.8,0.49337,0.26594,0.00265,0.95551,0.96876,0.97725,0.83416,0.63324,0.26481,0.01422,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,47203,0.4876,0.26827,0.00264,0.95502,0.96863,0.97705,0.84008,0.62985,0.26455,0.01408,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,47465,0.48698,0.26363,0.00263,0.9576,0.96702,0.97741,0.84166,0.62902,0.26363,0.01398,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,47726.9,0.48466,0.25771,0.00261,0.95632,0.96806,0.9775,0.84166,0.6268,0.26287,0.0139,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,47989.2,0.48396,0.25823,0.00259,0.95632,0.96684,0.97762,0.84074,0.62636,0.26238,0.01386,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,48251,0.47978,0.25696,0.00258,0.95659,0.96747,0.97779,0.84133,0.6239,0.26057,0.01377,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,48512.9,0.47599,0.26064,0.00256,0.95697,0.96667,0.97788,0.83961,0.62533,0.2645,0.01372,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,48774,0.47589,0.26058,0.00257,0.95799,0.96802,0.97794,0.84049,0.62355,0.25917,0.01364,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,49035.6,0.47421,0.25682,0.00257,0.95727,0.96766,0.9779,0.84098,0.62226,0.25861,0.01357,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,49296.4,0.4677,0.25903,0.00251,0.95659,0.96847,0.97796,0.84063,0.62185,0.25815,0.01347,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,49559.8,0.46976,0.25012,0.00252,0.95646,0.96813,0.97765,0.84568,0.61949,0.25883,0.01336,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,49822.9,0.47199,0.24379,0.00253,0.95642,0.96864,0.97735,0.84492,0.61886,0.25842,0.01333,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,50086.2,0.46574,0.2528,0.00249,0.95533,0.96838,0.97728,0.84424,0.61648,0.25804,0.01322,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,50348.4,0.46154,0.24662,0.00248,0.95464,0.96909,0.9774,0.83961,0.61805,0.25805,0.01319,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,50610.5,0.46009,0.24763,0.00248,0.95745,0.96833,0.97778,0.83992,0.61679,0.25787,0.01316,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,50898.6,0.45781,0.2485,0.00244,0.9563,0.9681,0.9778,0.8388,0.61614,0.25732,0.0131,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
